filename1, filename2, unique_id_cast1, unique_id_cast2, same_moment_diff_loc_cruise, diff_records_in_same_Moment&Loc_cruise, scaled_records, rounded_truncate, wrong_location, wrong_date, wrong_moments, wrong_country, wrong_instru_types, identical_info, interpolated_pairs, CTD multiple observations, Instrument_cast1, Instrument_cast2, Accession_cast1, Accession_cast2, lat_cast1, lat_cast2, lon_cast1, lon_cast2, year_cast1, year_cast2, month_cast1, month_cast2, day_cast1, day_cast2, hour_cast1, hour_cast2, minute_cast1, minute_cast2,probe_type_cast1, probe_type_cast2, recorder_cast1, recorder_cast2, depth_number_cast1, depth_number_cast2, maximum_depth_cast1, maximum_depth_cast2, country_cast1, country_cast2, GMT_time_cast1, GMT_time_cast2, dbase_orig_cast1, dbase_orig_cast2,project_cast1, project_cast2, Platform_cast1, Platform_cast2, ocean_vehicle_cast1, ocean_vehicle_cast2, WOD_cruise_identifier1,WOD_cruise_identifier2,Institute1,Institute2,need_z_fix1,need_z_fix2,sum_depth_cast1, sum_depth_cast2, sum_temp_cast1, sum_temp_cast2, sum_salinity_cast1, sum_salinity_cast2
   wod_007276207O.nc,   wod_007276234O.nc,             7276207,             7276234, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   40.3333,    40.5667,  136.3333,   137.0000, 1995,  1995,  6,   6,  8,   8, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,   28,    28,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,SHOYO (R/V;call sign JCOD;built 02.1972;renamed Coral Orchid 1999;IMO7338614), SHOYO (R/V;call sign JCOD;built 02.1972;renamed Coral Orchid 1999;IMO7338614),                    ,                     ,            JP121926,             JP121926,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        12.6000,         12.6000,         0.0000,          0.0000,
   wod_007274796O.nc,   wod_007275004O.nc,             7274796,             7275004, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   26.0833,    25.6333,  131.0000,   132.2500, 1995,  1995,  6,   6,  3,   4, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,   28,    28,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999), HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999),                    ,                     ,            JP141577,             JP141577,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        27.7000,         27.7000,         0.0000,          0.0000,
   wod_007275240O.nc,   wod_007276231O.nc,             7275240,             7276231, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   25.1167,    25.6667,  135.1167,   136.4667, 1995,  1995,  6,   6,  5,   8, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,   28,    28,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999), HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999),                    ,                     ,            JP141577,             JP141577,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        26.7000,         26.7000,         0.0000,          0.0000,
   wod_007275004O.nc,   wod_007275047O.nc,             7275004,             7275047, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   25.6333,    25.7333,  132.2500,   132.0000, 1995,  1995,  6,   6,  4,   4, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,   28,    28,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999), HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999),                    ,                     ,            JP141577,             JP141577,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        27.7000,         27.7000,         0.0000,          0.0000,
   wod_007275052O.nc,   wod_007276195O.nc,             7275052,             7276195, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   25.4667,    26.5000,  133.7667,   136.0333, 1995,  1995,  6,   6,  4,   8, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,   28,    28,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999), HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999),                    ,                     ,            JP141577,             JP141577,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        26.1000,         26.1000,         0.0000,          0.0000,
   wod_007275242O.nc,   wod_007276231O.nc,             7275242,             7276231, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   25.4000,    25.6667,  135.7500,   136.4667, 1995,  1995,  6,   6,  5,   8, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,   28,    28,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999), HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999),                    ,                     ,            JP141577,             JP141577,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        26.7000,         26.7000,         0.0000,          0.0000,
   wod_007275530O.nc,   wod_007275539O.nc,             7275530,             7275539, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   33.0333,    32.3500,  137.4000,   137.0500, 1995,  1995,  6,   6,  6,   6, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,  999,   999,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        23.7000,         23.7000,         0.0000,          0.0000,
   wod_007275010O.nc,   wod_007275242O.nc,             7275010,             7275242, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   25.8333,    25.4000,  131.7500,   135.7500, 1995,  1995,  6,   6,  4,   5, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,   28,    28,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999), HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999),                    ,                     ,            JP141577,             JP141577,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        26.7000,         26.7000,         0.0000,          0.0000,
   wod_007276440O.nc,   wod_007276442O.nc,             7276440,             7276442, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   28.7500,    28.5000,  134.6833,   134.8333, 1995,  1995,  6,   6,  9,   9, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,   28,    28,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999), HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999),                    ,                     ,            JP141577,             JP141577,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        23.4000,         23.4000,         0.0000,          0.0000,
   wod_007275010O.nc,   wod_007275240O.nc,             7275010,             7275240, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   25.8333,    25.1167,  131.7500,   135.1167, 1995,  1995,  6,   6,  4,   5, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,   28,    28,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999), HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999),                    ,                     ,            JP141577,             JP141577,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        26.7000,         26.7000,         0.0000,          0.0000,
   wod_007275519O.nc,   wod_007275529O.nc,             7275519,             7275529, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   33.2500,    33.1167,  137.6833,   139.0333, 1995,  1995,  6,   6,  6,   6, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,  999,   999,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        20.9000,         20.9000,         0.0000,          0.0000,
   wod_007276149O.nc,   wod_007276152O.nc,             7276149,             7276152, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   37.9500,    37.3667,  139.0000,   138.4833, 1995,  1995,  6,   6,  8,   8, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,   28,    28,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,TENYO (CALL SIGN JBBC), TENYO (CALL SIGN JBBC),                    ,                     ,            JP142420,             JP142420,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        17.0000,         17.0000,         0.0000,          0.0000,
   wod_007275020O.nc,   wod_007275021O.nc,             7275020,             7275021, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   38.1667,    38.6000,  137.3333,   137.3333, 1995,  1995,  6,   6,  4,   4, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,  999,   999,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        17.0000,         17.0000,         0.0000,          0.0000,
   wod_007274796O.nc,   wod_007275047O.nc,             7274796,             7275047, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   26.0833,    25.7333,  131.0000,   132.0000, 1995,  1995,  6,   6,  3,   4, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,   28,    28,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999), HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999),                    ,                     ,            JP141577,             JP141577,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        27.7000,         27.7000,         0.0000,          0.0000,
   wod_007274513O.nc,   wod_007276425O.nc,             7274513,             7276425, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   37.7833,    33.7000,  138.4333,   129.0000, 1995,  1995,  6,   6,  2,   9, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,  999,   999,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        15.5000,         15.5000,         0.0000,          0.0000,
   wod_007274744O.nc,   wod_007275024O.nc,             7274744,             7275024, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   26.0333,    25.5167,  129.7500,   134.8667, 1995,  1995,  6,   6,  3,   4, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,   28,    28,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999), HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999),                    ,                     ,            JP141577,             JP141577,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        27.0000,         27.0000,         0.0000,          0.0000,
   wod_007275858O.nc,   wod_007276143O.nc,             7275858,             7276143, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   37.6000,    37.5833,  137.3000,   138.6167, 1995,  1995,  6,   6,  7,   8, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,   28,    28,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,TENYO (CALL SIGN JBBC), TENYO (CALL SIGN JBBC),                    ,                     ,            JP142420,             JP142420,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        17.8000,         17.8000,         0.0000,          0.0000,
   wod_007276438O.nc,   wod_007276442O.nc,             7276438,             7276442, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   28.2500,    28.5000,  134.9833,   134.8333, 1995,  1995,  6,   6,  9,   9, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,   28,    28,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999), HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999),                    ,                     ,            JP141577,             JP141577,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        23.4000,         23.4000,         0.0000,          0.0000,
   wod_007275240O.nc,   wod_007275242O.nc,             7275240,             7275242, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   25.1167,    25.4000,  135.1167,   135.7500, 1995,  1995,  6,   6,  5,   5, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,   28,    28,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999), HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999),                    ,                     ,            JP141577,             JP141577,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        26.7000,         26.7000,         0.0000,          0.0000,
   wod_007275019O.nc,   wod_007275020O.nc,             7275019,             7275020, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   37.9167,    38.1667,  137.3333,   137.3333, 1995,  1995,  6,   6,  4,   4, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,  999,   999,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        17.0000,         17.0000,         0.0000,          0.0000,
   wod_007275525O.nc,   wod_007275538O.nc,             7275525,             7275538, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   33.9167,    33.3833,  139.1667,   139.0667, 1995,  1995,  6,   6,  6,   6, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,  999,   999,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        21.0000,         21.0000,         0.0000,          0.0000,
   wod_007276602O.nc,   wod_007276603O.nc,             7276602,             7276603, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   58.0333,    58.8600,   10.0500,    10.0500, 1995,  1995,  6,   6, 10,  10,  9,   9, 47,  47,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    9,     9,   115.000,    115.000,  999,   999,   9.800 ,    9.800,        GTSP Program,         GTSP Program,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,       317.0000,        317.0000,        79.5000,         79.5000,         0.0000,          0.0000,
   wod_007276438O.nc,   wod_007276440O.nc,             7276438,             7276440, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   28.2500,    28.7500,  134.9833,   134.6833, 1995,  1995,  6,   6,  9,   9, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,   28,    28,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999), HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999),                    ,                     ,            JP141577,             JP141577,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        23.4000,         23.4000,         0.0000,          0.0000,
   wod_007275518O.nc,   wod_007275874O.nc,             7275518,             7275874, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   37.2500,    38.2500,  132.8333,   132.9167, 1995,  1995,  6,   6,  6,   7, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,   28,    28,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,SHOYO (R/V;call sign JCOD;built 02.1972;renamed Coral Orchid 1999;IMO7338614), SHOYO (R/V;call sign JCOD;built 02.1972;renamed Coral Orchid 1999;IMO7338614),                    ,                     ,            JP121926,             JP121926,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        15.7000,         15.7000,         0.0000,          0.0000,
   wod_007275865O.nc,   wod_007276233O.nc,             7275865,             7276233, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   25.1000,    25.2500,  136.3667,   136.5833, 1995,  1995,  6,   6,  7,   8, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,   28,    28,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999), HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999),                    ,                     ,            JP141577,             JP141577,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        28.2000,         28.2000,         0.0000,          0.0000,
